TIME;GEO;GEO_LABEL;MED_AGE_MOTHER;TOT_FER_RT;NET_MIGRAT_RT;BIRTH_RT;DEATH_RT;INF_MORT_RT;GDP_HAB_INDEX;EDU_LOW;EDU_HIGH;MED_AGE_MOTHER_DIFF;TOT_FER_RT_DIFF;NET_MIGRAT_RT_DIFF;BIRTH_RT_DIFF;DEATH_RT_DIFF;INF_MORT_RT_DIFF;GDP_HAB_INDEX_DIFF;EDU_LOW_DIFF;EDU_HIGH_DIFF;MIG_CHANGE
2012;AT;Austria;30.3;1.44;5.2;9.4;9.4;3.2;142;10.9;26.1;0.1;0.01;1.5;0.1;0.3;-0.4;1;-1.6;2.5;HIGHER
2013;AT;Austria;30.5;1.44;6.6;9.4;9.4;3.1;143;10.8;27.1;0.2;0;1.4;0;0;-0.1;1;-0.1;1;HIGHER
2014;AT;Austria;30.6;1.46;8.6;9.6;9.2;3;141;9.6;40;0.1;0.02;2;0.2;-0.2;-0.1;-2;-1.2;12.9;HIGHER
2015;AT;Austria;30.7;1.49;13.2;9.8;9.6;3.1;137;11.1;38.7;0.1;0.03;4.6;0.2;0.4;0.1;-4;1.5;-1.3;LOWER
2016;AT;Austria;30.8;1.53;7.5;10;9.2;3.1;139;12;40.1;0.1;0.04;-5.7;0.2;-0.4;0;2;0.9;1.4;LOWER
2017;AT;Austria;30.9;1.52;5.1;10;9.5;2.9;140;11.8;40.8;0.1;-0.01;-2.4;0;0.3;-0.2;1;-0.2;0.7;UNKNOWN
2000;AT1;Ostösterreich;29.4;1.32;4.2;9.5;10.8;5.2;144;18;19.2;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT1;Ostösterreich;29.7;1.3;8;9.2;10.4;5.3;142;16.3;18.5;0.3;-0.02;3.8;-0.3;-0.4;0.1;-2;-1.7;-0.7;HIGHER
2002;AT1;Ostösterreich;29.9;1.37;8.5;9.6;10.5;4.7;140;16.2;18.8;0.2;0.07;0.5;0.4;0.1;-0.6;-2;-0.1;0.3;LOWER
2003;AT1;Ostösterreich;30;1.36;8.5;9.5;10.5;5.5;140;15.3;18;0.1;-0.01;0;-0.1;0;0.8;0;-0.9;-0.8;HIGHER
2004;AT1;Ostösterreich;29.6;1.41;10.4;9.6;9.9;4.9;139;12.6;25.1;-0.4;0.05;1.9;0.1;-0.6;-0.6;-1;-2.7;7.1;LOWER
2005;AT1;Ostösterreich;29.6;1.39;9.7;9.5;9.9;4.7;137;14.1;23.8;0;-0.02;-0.7;-0.1;0;-0.2;-2;1.5;-1.3;LOWER
2006;AT1;Ostösterreich;29.8;1.4;5.2;9.5;9.7;3.9;136;14.1;22.5;0.2;0.01;-4.5;0;-0.2;-0.8;-1;0;-1.3;HIGHER
2007;AT1;Ostösterreich;29.8;1.37;5.5;9.2;9.7;4.9;135;13.9;23.3;0;-0.03;0.3;-0.3;0;1;-1;-0.2;0.8;LOWER
2008;AT1;Ostösterreich;29.9;1.4;5.3;9.5;9.7;5;139;13.4;22.2;0.1;0.03;-0.2;0.3;0;0.1;4;-0.5;-1.1;LOWER
2009;AT1;Ostösterreich;30;1.37;4.5;9.2;9.9;4.6;146;11.9;26.9;0.1;-0.03;-0.8;-0.3;0.2;-0.4;7;-1.5;4.7;HIGHER
2010;AT1;Ostösterreich;30;1.42;5.1;9.5;9.8;4.7;143;11.9;27.5;0;0.05;0.6;0.3;-0.1;0.1;-3;0;0.6;HIGHER
2011;AT1;Ostösterreich;30.3;1.42;5.8;9.5;9.6;4.6;144;12.7;26.6;0.3;0;0.7;0;-0.2;-0.1;1;0.8;-0.9;HIGHER
2012;AT1;Ostösterreich;30.5;1.42;8.6;9.5;10;3.7;144;11.6;29.8;0.2;0;2.8;0;0.4;-0.9;0;-1.1;3.2;HIGHER
2013;AT1;Ostösterreich;30.6;1.41;9.4;9.5;9.8;3.8;144;11.3;31.2;0.1;-0.01;0.8;0;-0.2;0.1;0;-0.3;1.4;HIGHER
2014;AT1;Ostösterreich;30.7;1.43;11.5;9.7;9.6;3.9;141;10.5;45;0.1;0.02;2.1;0.2;-0.2;0.1;-3;-0.8;13.8;HIGHER
2015;AT1;Ostösterreich;30.9;1.44;16.7;9.8;9.9;3.7;137;12.6;45.1;0.2;0.01;5.2;0.1;0.3;-0.2;-4;2.1;0.1;LOWER
2016;AT1;Ostösterreich;30.9;1.49;10;10.1;9.5;3.8;139;13;44.1;0;0.05;-6.7;0.3;-0.4;0.1;2;0.4;-1;LOWER
2017;AT1;Ostösterreich;31;1.46;6.7;9.9;9.7;3.4;139;12.8;45;0.1;-0.03;-3.3;-0.2;0.2;-0.4;0;-0.2;0.9;UNKNOWN
2000;AT11;Burgenland (AT);29.2;1.19;1.6;8;10.5;5;88;19.9;0;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT11;Burgenland (AT);29.3;1.21;4.8;8;10.1;5.4;87;18.1;0;0.1;0.02;3.2;0;-0.4;0.4;-1;-1.8;NAN;LOWER
2002;AT11;Burgenland (AT);29.6;1.2;2.4;8;10.8;2.3;88;0;0;0.3;-0.01;-2.4;0;0.7;-3.1;1;NAN;NAN;HIGHER
2003;AT11;Burgenland (AT);29.5;1.23;3.8;8;10.8;6;90;0;16.8;-0.1;0.03;1.4;0;0;3.7;2;NAN;NAN;HIGHER
2004;AT11;Burgenland (AT);29.3;1.27;7;7.9;10.5;2.3;90;0;0;-0.2;0.04;3.2;-0.1;-0.3;-3.7;0;NAN;NAN;LOWER
2005;AT11;Burgenland (AT);29.8;1.27;6.7;7.9;10.6;3.7;88;0;16.5;0.5;0;-0.3;0;0.1;1.4;-2;NAN;NAN;LOWER
2006;AT11;Burgenland (AT);29.5;1.25;6.6;7.6;10.8;3.8;85;0;18.2;-0.3;-0.02;-0.1;-0.3;0.2;0.1;-3;NAN;1.7;LOWER
2007;AT11;Burgenland (AT);29.7;1.29;6.3;7.7;10.8;4.1;86;0;0;0.2;0.04;-0.3;0.1;0;0.3;1;NAN;NAN;HIGHER
2008;AT11;Burgenland (AT);29.9;1.31;9.4;7.9;10.9;3.2;87;0;0;0.2;0.02;3.1;0.2;0.1;-0.9;1;NAN;NAN;LOWER
2009;AT11;Burgenland (AT);30.1;1.27;6.2;7.5;10.5;0.9;93;0;18.1;0.2;-0.04;-3.2;-0.4;-0.4;-2.3;6;NAN;NAN;HIGHER
2010;AT11;Burgenland (AT);29.9;1.28;6.3;7.5;10.7;2.3;93;0;19.5;-0.2;0.01;0.1;0;0.2;1.4;0;NAN;1.4;HIGHER
2011;AT11;Burgenland (AT);30.5;1.28;7.3;7.5;10.6;3.7;94;0;19.6;0.6;0;1;0;-0.1;1.4;1;NAN;0.1;LOWER
2012;AT11;Burgenland (AT);30.4;1.3;7.2;7.5;11.5;2.3;97;0;18.2;-0.1;0.02;-0.1;0;0.9;-1.4;3;NAN;-1.4;LOWER
2013;AT11;Burgenland (AT);30.9;1.27;6.4;7.4;11.2;3.8;98;0;17.8;0.5;-0.03;-0.8;-0.1;-0.3;1.5;1;NAN;-0.4;HIGHER
2014;AT11;Burgenland (AT);30.8;1.33;6.8;7.6;11.1;2.7;97;0;32.3;-0.1;0.06;0.4;0.2;-0.1;-1.1;-1;NAN;14.5;HIGHER
2015;AT11;Burgenland (AT);31.3;1.37;12.8;7.8;11.4;2.7;95;0;43;0.5;0.04;6;0.2;0.3;0;-2;NAN;10.7;LOWER
2016;AT11;Burgenland (AT);31.3;1.41;6.3;7.9;11;4.3;98;0;38.4;0;0.04;-6.5;0.1;-0.4;1.6;3;NAN;-4.6;HIGHER
2017;AT11;Burgenland (AT);31.4;1.36;6.5;7.5;11.5;1.8;100;0;39.3;0.1;-0.05;0.2;-0.4;0.5;-2.5;2;NAN;0.9;UNKNOWN
2000;AT12;Niederösterreich;29.2;1.35;4;9.2;10.3;5.4;110;17.8;15.3;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT12;Niederösterreich;29.4;1.33;4.4;8.9;9.9;4.1;107;14.5;15.2;0.2;-0.02;0.4;-0.3;-0.4;-1.3;-3;-3.3;-0.1;LOWER
2002;AT12;Niederösterreich;29.7;1.4;4;9.2;10.2;3.9;106;13.8;15.1;0.3;0.07;-0.4;0.3;0.3;-0.2;-1;-0.7;-0.1;HIGHER
2003;AT12;Niederösterreich;29.8;1.38;6.5;8.9;10.2;4.6;107;10.4;12.3;0.1;-0.02;2.5;-0.3;0;0.7;1;-3.4;-2.8;HIGHER
2004;AT12;Niederösterreich;29.5;1.46;8.2;9.1;9.9;4.4;108;11.3;18.9;-0.3;0.08;1.7;0.2;-0.3;-0.2;1;0.9;6.6;LOWER
2005;AT12;Niederösterreich;29.4;1.46;8.2;9;9.9;3.6;106;12.4;17.2;-0.1;0;0;-0.1;0;-0.8;-2;1.1;-1.7;LOWER
2006;AT12;Niederösterreich;29.7;1.46;5.7;8.9;9.6;3.5;106;10.6;16.1;0.3;0;-2.5;-0.1;-0.3;-0.1;0;-1.8;-1.1;LOWER
2007;AT12;Niederösterreich;29.7;1.41;5.4;8.6;9.6;4.4;107;10;18.2;0;-0.05;-0.3;-0.3;0;0.9;1;-0.6;2.1;HIGHER
2008;AT12;Niederösterreich;29.8;1.46;5.6;8.8;9.8;4.7;111;10.7;16.5;0.1;0.05;0.2;0.2;0.2;0.3;4;0.7;-1.7;LOWER
2009;AT12;Niederösterreich;29.9;1.42;3.3;8.5;9.9;4.2;115;8.8;21.4;0.1;-0.04;-2.3;-0.3;0.1;-0.5;4;-1.9;4.9;LOWER
2010;AT12;Niederösterreich;29.9;1.47;3.3;8.7;9.8;3.6;113;6.9;18.7;0;0.05;0;0.2;-0.1;-0.6;-2;-1.9;-2.7;HIGHER
2011;AT12;Niederösterreich;30.1;1.48;4.2;8.7;9.8;3.9;115;9.7;19;0.2;0.01;0.9;0;0;0.3;2;2.8;0.3;LOWER
2012;AT12;Niederösterreich;30.3;1.49;4.2;8.7;10.4;3.1;116;10.1;21.8;0.2;0.01;0;0;0.6;-0.8;1;0.4;2.8;HIGHER
2013;AT12;Niederösterreich;30.4;1.48;5.8;8.6;10.2;2.7;116;8.6;21.3;0.1;-0.01;1.6;-0.1;-0.2;-0.4;0;-1.5;-0.5;HIGHER
2014;AT12;Niederösterreich;30.5;1.51;8.1;8.8;10;3.2;115;9.1;39.4;0.1;0.03;2.3;0.2;-0.2;0.5;-1;0.5;18.1;HIGHER
2015;AT12;Niederösterreich;30.8;1.52;11.9;8.9;10.5;3.1;113;11.5;40;0.3;0.01;3.8;0.1;0.5;-0.1;-2;2.4;0.6;LOWER
2016;AT12;Niederösterreich;30.7;1.59;8.2;9.3;10.2;3;114;9.1;40;-0.1;0.07;-3.7;0.4;-0.3;-0.1;1;-2.4;0;LOWER
2017;AT12;Niederösterreich;30.8;1.57;4.1;9.2;10.4;2.8;115;12;39;0.1;-0.02;-4.1;-0.1;0.2;-0.2;1;2.9;-1;UNKNOWN
2000;AT13;Wien;29.7;1.32;4.8;10;11.3;5.1;187;17.9;23.4;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT13;Wien;30;1.29;12.1;9.7;10.8;6.3;186;17.5;22.1;0.3;-0.03;7.3;-0.3;-0.5;1.2;-1;-0.4;-1.3;HIGHER
2002;AT13;Wien;30.1;1.39;14;10.4;10.7;5.7;184;18.5;22.6;0.1;0.1;1.9;0.7;-0.1;-0.6;-2;1;0.5;LOWER
2003;AT13;Wien;30.2;1.37;11.3;10.3;10.6;6.3;182;19.8;23;0.1;-0.02;-2.7;-0.1;-0.1;0.6;-2;1.3;0.4;HIGHER
2004;AT13;Wien;29.7;1.41;13.1;10.4;9.9;5.7;177;13.9;31.9;-0.5;0.04;1.8;0.1;-0.7;-0.6;-5;-5.9;8.9;LOWER
2005;AT13;Wien;29.8;1.37;11.7;10.2;9.8;5.7;175;15.4;30.3;0.1;-0.04;-1.4;-0.2;-0.1;0;-2;1.5;-1.6;LOWER
2006;AT13;Wien;30;1.39;4.5;10.3;9.5;4.3;173;17.1;28.3;0.2;0.02;-7.2;0.1;-0.3;-1.4;-2;1.7;-2;HIGHER
2007;AT13;Wien;30;1.36;5.4;10.1;9.5;5.4;170;17.1;28.4;0;-0.03;0.9;-0.2;0;1.1;-3;0;0.1;LOWER
2008;AT13;Wien;30.1;1.39;4.3;10.4;9.4;5.5;175;15.7;27.6;0.1;0.03;-1.1;0.3;-0.1;0.1;5;-1.4;-0.8;HIGHER
2009;AT13;Wien;30.1;1.37;5.4;10.2;9.7;5.5;185;14.5;32.3;0;-0.02;1.1;-0.2;0.3;0;10;-1.2;4.7;HIGHER
2010;AT13;Wien;30.2;1.42;6.6;10.6;9.6;5.8;181;15.9;35.1;0.1;0.05;1.2;0.4;-0.1;0.3;-4;1.4;2.8;HIGHER
2011;AT13;Wien;30.4;1.42;7;10.6;9.3;5.3;181;15.5;32.9;0.2;0;0.4;0;-0.3;-0.5;0;-0.4;-2.2;HIGHER
2012;AT13;Wien;30.6;1.4;12.9;10.6;9.5;4.3;178;13;37.1;0.2;-0.02;5.9;0;0.2;-1;-3;-2.5;4.2;HIGHER
2013;AT13;Wien;30.8;1.4;13.2;10.7;9.3;4.7;177;13.3;39.7;0.2;0;0.3;0.1;-0.2;0.4;-1;0.3;2.6;HIGHER
2014;AT13;Wien;30.8;1.41;15.3;10.8;9;4.5;172;11.6;50.4;0;0.01;2.1;0.1;-0.3;-0.2;-5;-1.7;10.7;HIGHER
2015;AT13;Wien;31;1.42;21.7;11;9.1;4.3;165;14;48.8;0.2;0.01;6.4;0.2;0.1;-0.2;-7;2.4;-1.6;LOWER
2016;AT13;Wien;31.1;1.45;12.2;11.2;8.6;4.2;168;16;47.4;0.1;0.03;-9.5;0.2;-0.5;-0.1;3;2;-1.4;LOWER
2017;AT13;Wien;31.2;1.41;9.1;11;8.7;4.1;166;13.8;49.5;0.1;-0.04;-3.1;-0.2;0.1;-0.1;-2;-2.2;2.1;UNKNOWN
2000;AT2;Südösterreich;29;1.3;-0.3;9.1;9.7;3.9;114;14.2;12.7;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT2;Südösterreich;29.4;1.25;4.3;8.6;9.4;3.9;113;13.6;14.1;0.4;-0.05;4.6;-0.5;-0.3;0;-1;-0.6;1.4;LOWER
2002;AT2;Südösterreich;29.6;1.28;0.8;8.8;9.6;2.7;111;13.1;15.5;0.2;0.03;-3.5;0.2;0.2;-1.2;-2;-0.5;1.4;HIGHER
2003;AT2;Südösterreich;29.7;1.29;2.3;8.7;9.7;2.8;113;10;18;0.1;0.01;1.5;-0.1;0.1;0.1;2;-3.1;2.5;HIGHER
2004;AT2;Südösterreich;29.3;1.33;3.9;8.7;9.5;3.1;114;12.7;17.3;-0.4;0.04;1.6;0;-0.2;0.3;1;2.7;-0.7;LOWER
2005;AT2;Südösterreich;29.4;1.34;3.5;8.7;9.6;3.3;114;11.6;18.5;0.1;0.01;-0.4;0;0.1;0.2;0;-1.1;1.2;LOWER
2006;AT2;Südösterreich;29.5;1.34;1.9;8.6;9.6;3.5;113;9.8;20.8;0.1;0;-1.6;-0.1;0;0.2;-1;-1.8;2.3;LOWER
2007;AT2;Südösterreich;29.6;1.33;1.9;8.4;9.5;2.4;115;9.6;18.4;0.1;-0.01;0;-0.2;-0.1;-1.1;2;-0.2;-2.4;LOWER
2008;AT2;Südösterreich;29.5;1.35;1.7;8.5;9.7;2.5;118;9.3;20.5;-0.1;0.02;-0.2;0.1;0.2;0.1;3;-0.3;2.1;LOWER
2009;AT2;Südösterreich;29.7;1.34;1;8.4;10;2.8;122;10.4;19.6;0.2;-0.01;-0.7;-0.1;0.3;0.3;4;1.1;-0.9;HIGHER
2010;AT2;Südösterreich;29.8;1.38;1.5;8.6;9.9;2.8;121;9.6;20.1;0.1;0.04;0.5;0.2;-0.1;0;-1;-0.8;0.5;HIGHER
2011;AT2;Südösterreich;30;1.35;2.1;8.4;9.7;2.6;123;10.8;19.6;0.2;-0.03;0.6;-0.2;-0.2;-0.2;2;1.2;-0.5;HIGHER
2012;AT2;Südösterreich;30;1.37;2.6;8.5;10;3.1;125;9.7;22.9;0;0.02;0.5;0.1;0.3;0.5;2;-1.1;3.3;HIGHER
2013;AT2;Südösterreich;30.2;1.37;4.1;8.4;9.9;2.2;125;9.8;25.1;0.2;0;1.5;-0.1;-0.1;-0.9;0;0.1;2.2;HIGHER
2014;AT2;Südösterreich;30.3;1.38;6;8.5;9.9;2.4;124;8.7;36.4;0.1;0.01;1.9;0.1;0;0.2;-1;-1.1;11.3;HIGHER
2015;AT2;Südösterreich;30.5;1.44;9.2;8.8;10.6;3.1;120;7.4;34.2;0.2;0.06;3.2;0.3;0.7;0.7;-4;-1.3;-2.2;LOWER
2016;AT2;Südösterreich;30.6;1.46;4.5;9;10.2;2.1;122;9.6;37.8;0.1;0.02;-4.7;0.2;-0.4;-1;2;2.2;3.6;LOWER
2017;AT2;Südösterreich;30.7;1.48;3;9;10.5;1.9;125;11.5;36.8;0.1;0.02;-1.5;0;0.3;-0.2;3;1.9;-1;UNKNOWN
2000;AT21;Kärnten;29.2;1.32;-1.8;9.3;9.5;3.3;111;11.5;12.3;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT21;Kärnten;29.9;1.3;0.8;8.9;9.1;5;109;11.7;12.1;0.7;-0.02;2.6;-0.4;-0.4;1.7;-2;0.2;-0.2;LOWER
2002;AT21;Kärnten;29.8;1.29;-1.4;8.6;9.5;2.5;109;7.4;15.4;-0.1;-0.01;-2.2;-0.3;0.4;-2.5;0;-4.3;3.3;HIGHER
2003;AT21;Kärnten;30;1.31;-0.4;8.6;9.3;2.3;110;9.4;16.3;0.2;0.02;1;0;-0.2;-0.2;1;2;0.9;HIGHER
2004;AT21;Kärnten;29.5;1.36;2.3;8.6;9.3;2.9;110;12.3;15.8;-0.5;0.05;2.7;0;0;0.6;0;2.9;-0.5;LOWER
2005;AT21;Kärnten;29.6;1.37;1.8;8.6;9.8;2.9;111;11.5;18;0.1;0.01;-0.5;0;0.5;0;1;-0.8;2.2;LOWER
2006;AT21;Kärnten;29.4;1.42;1;8.8;9.6;3.7;110;9.9;18.2;-0.2;0.05;-0.8;0.2;-0.2;0.8;-1;-1.6;0.2;HIGHER
2007;AT21;Kärnten;29.6;1.38;1.7;8.4;9.5;2.1;112;10.4;16;0.2;-0.04;0.7;-0.4;-0.1;-1.6;2;0.5;-2.2;LOWER
2008;AT21;Kärnten;29.5;1.4;0.7;8.4;9.6;1.9;115;0;21;-0.1;0.02;-1;0;0.1;-0.2;3;NAN;5;LOWER
2009;AT21;Kärnten;29.6;1.37;-0.9;8.2;9.9;3.1;118;0;25.4;0.1;-0.03;-1.6;-0.2;0.3;1.2;3;NAN;4.4;HIGHER
2010;AT21;Kärnten;29.9;1.43;-0.7;8.4;10;1.7;117;0;20.1;0.3;0.06;0.2;0.2;0.1;-1.4;-1;NAN;-5.3;HIGHER
2011;AT21;Kärnten;29.8;1.4;0.4;8.2;9.8;3.9;120;9.9;19.3;-0.1;-0.03;1.1;-0.2;-0.2;2.2;3;NAN;-0.8;HIGHER
2012;AT21;Kärnten;29.9;1.41;1.1;8.2;10.3;2.8;120;0;25.5;0.1;0.01;0.7;0;0.5;-1.1;0;NAN;6.2;HIGHER
2013;AT21;Kärnten;30.2;1.41;2.8;8.2;10.3;0.9;120;11.3;22.8;0.3;0;1.7;0;0;-1.9;0;NAN;-2.7;HIGHER
2014;AT21;Kärnten;30.3;1.43;5;8.3;10.1;1.3;120;0;39.2;0.1;0.02;2.2;0.1;-0.2;0.4;0;NAN;16.4;HIGHER
2015;AT21;Kärnten;30.4;1.43;7.6;8.3;10.8;3.2;115;0;41;0.1;0;2.6;0;0.7;1.9;-5;NAN;1.8;LOWER
2016;AT21;Kärnten;30.5;1.5;3;8.7;10.6;2.3;117;0;35.9;0.1;0.07;-4.6;0.4;-0.2;-0.9;2;NAN;-5.1;LOWER
2017;AT21;Kärnten;30.7;1.51;1.8;8.7;10.8;0.8;120;0;37.8;0.2;0.01;-1.2;0;0.2;-1.5;3;NAN;1.9;UNKNOWN
2000;AT22;Steiermark;28.9;1.28;0.3;9;9.8;4.2;116;15.4;12.8;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT22;Steiermark;29.2;1.22;6;8.4;9.6;3.3;115;14.5;15;0.3;-0.06;5.7;-0.6;-0.2;-0.9;-1;-0.9;2.2;LOWER
2002;AT22;Steiermark;29.4;1.28;1.8;8.8;9.7;2.9;113;15.6;15.5;0.2;0.06;-4.2;0.4;0.1;-0.4;-2;1.1;0.5;HIGHER
2003;AT22;Steiermark;29.5;1.28;3.6;8.7;9.9;3.1;114;10.3;18.8;0.1;0;1.8;-0.1;0.2;0.2;1;-5.3;3.3;HIGHER
2004;AT22;Steiermark;29.2;1.31;4.7;8.8;9.6;3.2;115;12.9;17.9;-0.3;0.03;1.1;0.1;-0.3;0.1;1;2.6;-0.9;LOWER
2005;AT22;Steiermark;29.3;1.32;4.2;8.7;9.6;3.5;116;11.6;18.7;0.1;0.01;-0.5;-0.1;0;0.3;1;-1.3;0.8;LOWER
2006;AT22;Steiermark;29.5;1.31;2.3;8.6;9.5;3.4;115;9.8;22;0.2;-0.01;-1.9;-0.1;-0.1;-0.1;-1;-1.8;3.3;LOWER
2007;AT22;Steiermark;29.6;1.3;2;8.5;9.5;2.5;116;9.3;19.5;0.1;-0.01;-0.3;-0.1;0;-0.9;1;-0.5;-2.5;HIGHER
2008;AT22;Steiermark;29.5;1.32;2.1;8.5;9.7;2.7;119;10.4;20.3;-0.1;0.02;0.1;0;0.2;0.2;3;1.1;0.8;LOWER
2009;AT22;Steiermark;29.7;1.32;1.8;8.5;10;2.7;124;11.4;17.1;0.2;0;-0.3;0;0.3;0;5;1;-3.2;HIGHER
2010;AT22;Steiermark;29.7;1.36;2.5;8.6;9.8;3.3;122;9.9;20.1;0;0.04;0.7;0.1;-0.2;0.6;-2;-1.5;3;HIGHER
2011;AT22;Steiermark;30.1;1.33;2.9;8.4;9.7;2;125;11.3;19.7;0.4;-0.03;0.4;-0.2;-0.1;-1.3;3;1.4;-0.4;HIGHER
2012;AT22;Steiermark;30.1;1.36;3.2;8.6;9.9;3.2;127;10.7;21.9;0;0.03;0.3;0.2;0.2;1.2;2;-0.6;2.2;HIGHER
2013;AT22;Steiermark;30.2;1.35;4.7;8.5;9.7;2.8;127;9.2;26.1;0.1;-0.01;1.5;-0.1;-0.2;-0.4;0;-1.5;4.2;HIGHER
2014;AT22;Steiermark;30.3;1.36;6.4;8.5;9.7;2.9;127;9.3;35.2;0.1;0.01;1.7;0;0;0.1;0;0.1;9.1;HIGHER
2015;AT22;Steiermark;30.6;1.44;9.9;9.1;10.5;3.1;123;7.5;31.3;0.3;0.08;3.5;0.6;0.8;0.2;-4;-1.8;-3.9;LOWER
2016;AT22;Steiermark;30.6;1.44;5.2;9.1;10;2.1;125;10.4;38.6;0;0;-4.7;0;-0.5;-1;2;2.9;7.3;LOWER
2017;AT22;Steiermark;30.7;1.46;3.5;9.2;10.4;2.4;127;12.7;36.3;0.1;0.02;-1.7;0.1;0.4;0.3;2;2.3;-2.3;UNKNOWN
2000;AT3;Westösterreich;29.5;1.41;1.3;10.5;8.1;4.9;135;16.6;13.9;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT3;Westösterreich;29.7;1.38;2.5;10.1;8;4.9;134;17.1;14.4;0.2;-0.03;1.2;-0.4;-0.1;0;-1;0.5;0.5;LOWER
2002;AT3;Westösterreich;29.8;1.44;1.3;10.3;8.1;4;133;17.2;16.2;0.1;0.06;-1.2;0.2;0.1;-0.9;-1;0.1;1.8;HIGHER
2003;AT3;Westösterreich;30;1.41;3.1;10;8.2;4.1;135;15.6;16.8;0.2;-0.03;1.8;-0.3;0.1;0.1;2;-1.6;0.6;HIGHER
2004;AT3;Westösterreich;29.5;1.48;3.8;10.2;7.9;4.7;134;15;18.1;-0.5;0.07;0.7;0.2;-0.3;0.6;-1;-0.6;1.3;LOWER
2005;AT3;Westösterreich;29.6;1.47;3.3;10;8;4.1;136;15;18.1;0.1;-0.01;-0.5;-0.2;0.1;-0.6;2;0;0;LOWER
2006;AT3;Westösterreich;29.6;1.46;1.1;9.8;7.9;3.3;135;15.2;19.6;0;-0.01;-2.2;-0.2;-0.1;-0.8;-1;0.2;1.5;LOWER
2007;AT3;Westösterreich;29.7;1.44;0.2;9.6;7.9;2.9;136;15.2;19.3;0.1;-0.02;-0.9;-0.2;0;-0.4;1;0;-0.3;HIGHER
2008;AT3;Westösterreich;29.7;1.47;0.8;9.7;7.9;2.8;140;14;22.3;0;0.03;0.6;0.1;0;-0.1;4;-1.2;3;LOWER
2009;AT3;Westösterreich;29.9;1.46;0;9.5;8.1;3.3;145;12.2;21.2;0.2;-0.01;-0.8;-0.2;0.2;0.5;5;-1.8;-1.1;HIGHER
